,name,year,runtime,genre,rating
0,The Shawshank Redemption,1994,142,"
Drama            ",9.3
1,The Godfather,1972,175,"
Crime, Drama            ",9.2
2,The Dark Knight,2008,152,"
Action, Crime, Drama            ",9.0
3,The Godfather: Part II,1974,202,"
Crime, Drama            ",9.0
4,The Lord of the Rings: The Return of the King,2003,201,"
Adventure, Drama, Fantasy            ",8.9
5,Pulp Fiction,1994,154,"
Crime, Drama            ",8.9
6,Schindler's List,1993,195,"
Biography, Drama, History            ",8.9
7,12 Angry Men,1957,96,"
Crime, Drama            ",8.9
8,Inception,2010,148,"
Action, Adventure, Sci-Fi            ",8.8
9,Fight Club,1999,139,"
Drama            ",8.8
10,The Lord of the Rings: The Fellowship of the Ring,2001,178,"
Action, Adventure, Drama            ",8.8
11,Forrest Gump,1994,142,"
Drama, Romance            ",8.8
12,"Il buono, il brutto, il cattivo",1966,161,"
Western            ",8.8
13,The Lord of the Rings: The Two Towers,2002,179,"
Adventure, Drama, Fantasy            ",8.7
14,The Matrix,1999,136,"
Action, Sci-Fi            ",8.7
15,Goodfellas,1990,146,"
Biography, Crime, Drama            ",8.7
16,Star Wars: Episode V - The Empire Strikes Back,1980,124,"
Action, Adventure, Fantasy            ",8.7
17,One Flew Over the Cuckoo's Nest,1975,133,"
Drama            ",8.7
18,Anand,1971,122,"
Drama, Musical            ",8.7
19,Seppuku,1962,133,"
Action, Drama, History            ",8.7
20,Gisaengchung,2019,132,"
Comedy, Drama, Thriller            ",8.6
21,Interstellar,2014,169,"
Adventure, Drama, Sci-Fi            ",8.6
22,Cidade de Deus,2002,130,"
Crime, Drama            ",8.6
23,Sen to Chihiro no kamikakushi,2001,125,"
Animation, Adventure, Family            ",8.6
24,Saving Private Ryan,1998,169,"
Drama, War            ",8.6
25,The Green Mile,1999,189,"
Crime, Drama, Fantasy            ",8.6
26,La vita è bella,1997,116,"
Comedy, Drama, Romance            ",8.6
27,Se7en,1995,127,"
Crime, Drama, Mystery            ",8.6
28,The Silence of the Lambs,1991,118,"
Crime, Drama, Thriller            ",8.6
29,Star Wars,1977,121,"
Action, Adventure, Fantasy            ",8.6
30,Shichinin no samurai,1954,207,"
Action, Adventure, Drama            ",8.6
31,It's a Wonderful Life,1946,130,"
Drama, Family, Fantasy            ",8.6
32,Joker,2019,122,"
Crime, Drama, Thriller            ",8.5
33,Avengers: Infinity War,2018,149,"
Action, Adventure, Sci-Fi            ",8.5
34,Whiplash,2014,106,"
Drama, Music            ",8.5
35,The Intouchables,2011,112,"
Biography, Comedy, Drama            ",8.5
36,The Prestige,2006,130,"
Drama, Mystery, Sci-Fi            ",8.5
37,The Departed,2006,151,"
Crime, Drama, Thriller            ",8.5
38,The Pianist,2002,150,"
Biography, Drama, Music            ",8.5
39,Gladiator,2000,155,"
Action, Adventure, Drama            ",8.5
40,American History X,1998,119,"
Drama            ",8.5
41,The Usual Suspects,1995,106,"
Crime, Mystery, Thriller            ",8.5
42,Léon,1994,110,"
Action, Crime, Drama            ",8.5
43,The Lion King,1994,88,"
Animation, Adventure, Drama            ",8.5
